logOut_medianTime,logOut_meanTime,logOut_stdTime,apiRequest_medianTime,apiRequest_meanTime,apiRequest_stdTime,totalTime,mode,actions,logIn_threads,logOut_threads,apiRequest_threads,repeat,logIn_medianTime,logIn_meanTime,logIn_stdTime
,,,4403.0,33147.162,225293.92637788816,36105571,monitor,10,50,0,50,5,6077.0,39063.98,168415.44539131888
5194.0,9733.268,20613.67040649071,,,,12679568,monitor,10,50,50,0,5,3383.0,15625.868,84764.82987502577
994.5,1449.238,1432.883194770499,913.5,1828.216,12130.05196157564,1638727,monitor,10,0,50,50,6,,,
,,,3449.0,49870.12,353091.38672260614,88594681,monitor,10,50,0,50,6,3942.5,127319.242,511881.4409036869
8069.5,96390.87,417431.4354947691,,,,80690752,monitor,10,50,50,0,6,2621.0,64990.634,335468.24287009455
1436.5,1682.34,1120.361622303022,1694.5,1971.614,1476.2311559697253,1826977,monitor,10,0,50,50,7,,,
,,,5426.5,61861.096,339150.0361981186,112980681,monitor,10,50,0,50,7,5538.0,164100.266,574717.8797799079
7274.5,58619.134,198745.17055818098,,,,51682357,monitor,10,50,50,0,7,3181.0,44745.58,180693.06199649986
1032.5,1696.81,2027.3273218797403,747.0,2706.62,27896.78388520576,2201715,monitor,10,0,50,50,8,,,
,,,4360.5,146313.598,650134.5357743868,176739748,monitor,10,50,0,50,8,4527.0,207165.898,940499.8471000908
3015.0,5337.292,29025.714551431432,,,,6557347,monitor,10,50,50,0,8,2121.0,7777.402,53495.59391506039
991.5,2284.486,12415.425817194047,850.0,1515.574,5908.667551401922,1900030,monitor,10,0,50,50,9,,,
,,,7564.5,68277.974,286916.6206157818,49180897,monitor,10,50,0,50,9,2908.0,30083.82,278642.9397161732
5803.0,19887.412,90211.23656982633,,,,18313458,monitor,10,50,50,0,9,2988.0,16739.504,158547.79282901384
1338.0,18934.21632653061,166586.48674251107,1543.0,37970.17755102041,191746.15431930957,28131340,free,10,1,49,49,0,1750.5,24818.7,60141.67909943985
24925.0,190639.6,492443.79278050043,9591.0,732125.418367347,2463817.3540073987,478117026,free,10,49,1,49,0,26784.0,239733.01020408163,971858.9455495299
11930.0,58632.02448979592,204653.65205267747,5133.5,5750.4,3725.8333057481545,45156029,free,10,49,49,1,0,18074.5,33405.78163265306,65307.70583565645
978.0,411084.5795918367,1676556.2551151065,785.0,271871.46530612244,1281959.4220688436,337012564,free,10,1,49,49,1,11048.0,236410.2,707639.3167799853
